Sex,Dimension,trait,Ind,n_reps,group_mean,group_sd,extreme_val,direction,Q_vs_mean,p_vs_mean,Q_vs_zero,p_vs_zero,bonf_mean,rank_mean,sig_mean,bonf_zero,rank_zero,sig_zero
female,breadth,mxm2,F13,10,-0.18484375000000006,0.24829697172481097,0.040000000000000924,high,0.23214285714285834,0.6189612987414597,0.23214285714285834,0.6189612987414597,7.462686567164179e-4,134,n.s.,7.462686567164179e-4,134,n.s.
female,breadth,mxm2,F14,10,-0.18484375000000006,0.24829697172481097,-0.11999999999999922,high,0.0666666666666647,0.23528417311420569,0.0666666666666647,0.23528417311420569,3.289473684210526e-4,49,n.s.,3.289473684210526e-4,49,n.s.
female,breadth,mxm2,F15,10,-0.18484375000000006,0.24829697172481097,0.3699999999999992,high,0.4637681159420297,0.08385788618212969,0.4637681159420297,0.08385788618212969,2.8409090909090913e-4,25,n.s.,2.8409090909090913e-4,25,n.s.
female,breadth,mxm2,F16,10,-0.18484375000000006,0.24829697172481097,-0.040000000000000924,high,0.26086956521738525,0.47742207418374977,0.26086956521738525,0.47742207418374977,5.05050505050505e-4,102,n.s.,5.05050505050505e-4,102,n.s.
female,breadth,mxm2,F17,10,-0.18484375000000006,0.24829697172481097,0.11000000000000121,low,0.27659574468084963,0.9830430240954853,0.27659574468084963,0.9830430240954853,0.0125,197,n.s.,0.0125,197,n.s.
female,breadth,mxm2,F18,10,-0.18484375000000006,0.24829697172481097,0.4599999999999991,high,0.1397849462365581,0.39704402560537666,0.1397849462365581,0.39704402560537666,4.3103448275862074e-4,85,n.s.,4.3103448275862074e-4,85,n.s.
female,breadth,mxm2,F19,10,-0.18484375000000006,0.24829697172481097,-0.39000000000000057,low,0.4444444444444483,0.6578930289122786,0.4444444444444483,0.6578930289122786,7.936507936507937e-4,138,n.s.,7.936507936507937e-4,138,n.s.
female,breadth,mxm2,F2,10,-0.18484375000000006,0.24829697172481097,-0.8500000000000014,low,0.2000000000000018,0.6732205890170029,0.2000000000000018,0.6732205890170029,8.19672131147541e-4,140,n.s.,8.19672131147541e-4,140,n.s.
female,breadth,mxm2,F20,10,-0.18484375000000006,0.24829697172481097,-0.5,low,0.5250000000000016,0.9246156373779484,0.5250000000000017,0.9246156373779484,0.004545454545454546,190,n.s.,0.004545454545454546,190,n.s.
female,breadth,mxm2,F21,10,-0.18484375000000006,0.24829697172481097,-0.16000000000000014,low,0.17647058823529044,0.8469546333383047,0.17647058823529044,0.8469546333383047,0.001724137931034483,172,n.s.,0.001724137931034483,172,n.s.
female,breadth,mxm2,F22,10,-0.18484375000000006,0.24829697172481097,-0.019999999999999574,high,0.379999999999999,0.22554041229857738,0.379999999999999,0.22554041229857738,3.225806451612903e-4,46,n.s.,3.225806451612903e-4,46,n.s.
